tempo_us,x_m,y_m,z_m,lidar_angle_deg,distance_m,intensity,X_lidar_m,Y_lidar_m,Z_lidar_m,X_body_m,Y_body_m,Z_body_m,X_global_m,Y_global_m,Z_global_m
40304828,0.104797916923109,2.627011801155838,0.0,272.38,1.469,235,-1.4677328208995324,0.0,0.06100300364982838,-1.4677328208995324,0.0,0.06100300364982838,-1.3521365018551819,2.7846055554135827,0.10230986266295644
40377652,0.1071111111111111,2.6304444444444446,0.0,70.93,0.10200000000000001,238,0.09640225157795981,0.0,0.0333257541655061,0.09640225157795981,0.0,0.0333257541655061,0.20480780382444747,2.6289928757106056,0.029278817959181178
40502999,0.117,2.699666666666667,0.0,168.61,0.13,168,0.025673212210607737,0.0,-0.12743973546264564,0.025673212210607737,0.0,-0.12743973546264564,0.13512119928353647,2.6663286720941937,-0.12433905361716442
40502999,0.117,2.699666666666667,0.0,141.04,0.245,236,0.1540505334376256,0.0,-0.19050835453486809,0.1540505334376256,0.0,-0.19050835453486809,0.25914103313942805,2.638595000797873,-0.18997678365017762
40502999,0.117,2.699666666666667,0.0,251.86,1.264,224,-1.201177439180093,0.0,-0.39353368293546886,-1.201177439180093,0.0,-0.39353368293546886,-1.1006339980659299,2.721087796077192,-0.3385329850527954
40576651,0.117,2.7114309272885144,0.0,168.0,0.077,233,0.016009200192967466,0.0,-0.07531736525650304,0.016009200192967466,0.0,-0.07531736525650304,0.12856767247969011,2.6914567917673815,-0.07345898762973824
40576651,0.117,2.7114309272885144,0.0,132.4,0.115,184,0.08492236417197664,0.0,-0.07754477457212819,0.08492236417197664,0.0,-0.07754477457212819,0.19696906695209343,2.684052393014534,-0.07797669005427246
40685171,0.117,2.757000000000001,0.0,14.26,0.082,242,0.02019844106275934,0.0,0.07947341051341787,0.02019844106275934,0.0,0.07947341051341787,0.14169076141728928,2.7740170430739175,0.0763202892136486
40685171,0.117,2.757000000000001,0.0,34.230000000000004,0.109,211,0.06131428314835077,0.0,0.09011969086722318,0.06131428314835077,0.0,0.09011969086722318,0.18318780935576448,2.772404339204297,0.08522253355987473
40685171,0.117,2.757000000000001,0.0,50.22,0.399,235,0.3066342599704116,0.0,0.25529675010152025,0.3066342599704116,0.0,0.25529675010152025,0.4366768303200039,2.7871668816536315,0.23684949526619495
40798280,0.117,2.8042222222222226,0.0,79.13,0.256,177,0.2514067425867687,0.0,0.048276803766511174,0.2514067425867687,0.0,0.048276803766511174,0.3696466051071478,2.7892954576096214,0.038508241014527184
40798280,0.117,2.8042222222222226,0.0,98.55,0.167,158,0.16514404529033228,0.0,-0.024828296460786138,0.16514404529033228,0.0,-0.024828296460786138,0.2796988274944554,2.7807940926109858,-0.029482440110149055
40798280,0.117,2.8042222222222226,0.0,117.96000000000001,0.163,122,0.1439738462949625,0.0,-0.07642337065999195,0.1439738462949625,0.0,-0.07642337065999195,0.2556840388658452,2.7705990220304755,-0.07877320466200705
40872700,0.1174955653361609,2.806163168190982,0.0,250.6,0.8300000000000001,239,-0.7828748060965087,0.0,-0.2756937394634741,-0.7828748060965087,0.0,-0.2756937394634741,-0.6762008408746393,2.8251318698856407,-0.24204586987610363
40872700,0.1174955653361609,2.806163168190982,0.0,235.4,0.152,238,-0.12511672801723517,0.0,-0.08631224924807138,-0.12511672801723517,0.0,-0.08631224924807138,-0.011777142163058724,2.7991103163551374,-0.07964185066158888
40872700,0.1174955653361609,2.806163168190982,0.0,220.19,0.128,210,-0.08260151940334222,0.0,-0.0977803098392477,-0.08260151940334222,0.0,-0.0977803098392477,0.029807306144950974,2.791769649263259,-0.09212814886283383
40985932,0.1212437705630811,2.830433364576168,0.0,40.77,0.139,230,0.09077035723287005,0.0,0.10526985441149407,0.09077035723287005,0.0,0.10526985441149407,0.21670479904667359,2.845940582512248,0.09983846068894324
