tempo_us,x,y,angle_x,angle_y,angle_z,angle,distance,intensity
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,21836,921,238
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,20754,830,238
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,19673,4869,73
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,18592,45033,39
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,17511,4116,5
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,16429,5608,43
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,15348,60165,240
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,14267,60419,211
48639927,0.21164083840072653,4.674837714272816,-12.893317049596815,-0.10561788633858545,-5.643016954556648,13185,657,240
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,134,18825,132
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,5844,35735,0
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,11555,37534,231
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,17265,548,226
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,22976,657,56
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,28687,41201,2
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,34397,62192,176
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,4108,62210,254
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,9819,61700,95
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,15529,1045,239
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,21240,2032,229
48722866,0.21688888888888894,4.691666666666666,-12.628296527824032,-0.2503911047967997,-5.430806193136942,26951,62734,15
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,346,36589,1
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,5853,61344,160
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,11361,770,185
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,16868,60675,200
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,22376,1015,238
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,27884,1389,84
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,33391,18908,77
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,2899,55016,15
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,8407,15590,221
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,13914,48107,43
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,19422,996,238
48843576,0.21688888888888894,5.152274926742705,-12.513328135925594,-1.1579515827270372,-5.7284977018070995,24930,28972,51
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,21418,9439,229
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,22459,58631,253
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,23500,60930,253
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,24542,734,237
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,25583,594,84
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,26625,19032,174
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,27666,28915,0
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,28708,25837,240
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,213,58595,76
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,1255,96,1
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,2296,21743,44
48967698,0.21688888888888894,4.769,-13.033278614841977,-1.0590083890957842,-5.543428352935994,3338,19159,222
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,5120,41097,2
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,10269,751,238
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,15419,61442,238
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,20569,765,241
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,25719,921,84
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,30869,19103,61
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,19,56549,7
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,5169,62952,232
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,10319,37611,36
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,15469,21671,44
49038989,0.21688888888888894,4.857,-13.253670285988063,-0.7927138153066989,-5.19727355498468,20619,61187,200
